c(t),t
0.0,0.0
0.1999600039997333,0.001
0.1999200159978669,0.002
0.1998800359928011,0.003
0.1998400639829367,0.004
0.199800099966675,0.005
0.1997601439424172,0.006
0.1997201959085653,0.007
0.1996802558635212,0.008
0.1996403238056874,0.009000000000000001
0.1996003997334666,0.01
0.1995604836452618,0.011
0.1995205755394763,0.012
0.1994806754145139,0.013000000000000001
0.1994407832687786,0.014
0.1994008991006746,0.015
0.1993610229086065,0.016
0.1993211546909795,0.017
0.1992812944461987,0.018000000000000002
0.1992414421726696,0.019
0.1992015978687983,0.02
0.1991617615329909,0.021
0.199121933163654,0.022
0.1990821127591944,0.023
0.1990423003180194,0.024
0.1990024958385364,0.025
0.1989626993191533,0.026000000000000002
0.1989229107582782,0.027
0.1988831301543195,0.028
0.1988433575056861,0.029
0.198803592810787,0.03
0.1987638360680317,0.031
0.1987240872758298,0.032
0.1986843464325914,0.033
0.1986446135367269,0.034
0.198604888586647,0.035
0.1985651715807627,0.036000000000000004
0.1985254625174852,0.037
0.1984857613952262,0.038
0.1984460682123978,0.039
0.1984063829674121,0.04
0.1983667056586817,0.041
0.1983270362846196,0.042
0.198287374843639,0.043000000000000003
0.1982477213341534,0.044
0.1982080757545767,0.045
0.198168438103323,0.046
0.1981288083788069,0.047
0.1980891865794432,0.048
0.1980495727036469,0.049
0.1980099667498336,0.05
0.197970368716419,0.051000000000000004
0.1979307786018191,0.052000000000000005
0.1978911964044504,0.053
0.1978516221227296,0.054
0.1978120557550737,0.055
0.1977724972999001,0.056
0.1977329467556264,0.057
0.1976934041206705,0.058
0.1976538693934509,0.059000000000000004
0.1976143425723861,0.06
0.197574823655895,0.061
0.1975353126423968,0.062
0.1974958095303113,0.063
0.1974563143180581,0.064
0.1974168270040575,0.065
0.19737734758673,0.066
0.1973378760644965,0.067
0.197298412435778,0.068
0.197258956698996,0.069
0.1972195088525724,0.07
0.1971800688949291,0.07100000000000001
0.1971406368244886,0.07200000000000001
0.1971012126396736,0.073
0.1970617963389071,0.074
0.1970223879206125,0.075
0.1969829873832135,0.076
0.1969435947251339,0.077
0.1969042099447982,0.078
0.1968648330406309,0.079
0.196825464011057,0.08
0.1967861028545016,0.081
0.1967467495693904,0.082
0.1967074041541492,0.083
0.1966680666072042,0.084
0.1966287369269819,0.085
0.1965894151119091,0.08600000000000001
0.1965501011604129,0.08700000000000001
0.1965107950709208,0.088
0.1964714968418605,0.089
0.1964322064716601,0.09
0.196392923958748,0.091
0.1963536493015529,0.092
0.1963143824985038,0.093
0.19627512354803,0.094
0.1962358724485612,0.095
0.1961966291985273,0.096
0.1961573937963586,0.097
0.1961181662404857,0.098
0.1960789465293394,0.099
0.196039734661351,0.1
0.1960005306349521,0.101
0.1959613344485744,0.10200000000000001
0.1959221461006501,0.10300000000000001
0.1958829655896117,0.10400000000000001
0.1958437929138919,0.105
0.1958046280719239,0.106
0.195765471062141,0.107
0.195726321882977,0.108
0.1956871805328658,0.109
0.195648047010242,0.11
0.19560892131354,0.111
0.1955698034411949,0.112
0.195530693391642,0.113
0.1954915911633169,0.114
0.1954524967546554,0.115
0.1954134101640938,0.116
